BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
York Region DSB,Dr Roberta Bondar PS,3,en,1,95%,93%,93%,84%,78%,75%,5%,7%,7%
York Region DSB,Boxwood Elementary Public School,3,en,1,94%,94%,100%,75%,78%,62%,6%,6%,0%
Hastings and Prince Edward DSB,Tyendinaga PS,3,en,1,94%,94%,94%,100%,93%,97%,0%,0%,0%
Ottawa-Carleton DSB,Steve MacLean PS,3,en,1,100%,100%,100%,74%,65%,67%,0%,0%,0%
York Region DSB,Nellie McClung PS,3,en,1,82%,82%,82%,63%,74%,67%,15%,15%,15%
Ottawa-Carleton DSB,A Lorne Cassidy E S,3,en,1,99%,100%,100%,81%,74%,75%,0%,0%,0%
Thames Valley District School Board,University Heights PS,3,en,1,95%,95%,95%,61%,50%,72%,5%,5%,5%
Keewatin-Patricia DSB,Upsala PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
York Region DSB,Unionville Meadows PS,3,en,1,99%,99%,99%,78%,70%,75%,1%,1%,1%
Avon Maitland DSB,Upper Thames E S,3,en,1,100%,100%,100%,70%,65%,66%,0%,0%,0%
Durham DSB,Uxbridge PS,3,en,1,N/D,N/D,100%,N/D,N/D,23%,N/D,N/D,0%
Kawartha Pine Ridge DSB,Ganaraska Trail PS,3,en,1,96%,96%,96%,69%,58%,40%,4%,4%,4%
Trillium Lakelands DSB,Bracebridge PS,3,en,1,100%,100%,100%,85%,62%,72%,0%,0%,0%
Durham DSB,Goodwood PS,3,en,1,100%,100%,100%,89%,74%,78%,0%,0%,0%
Trillium Lakelands DSB,V K Greer Memorial PS,3,en,1,92%,92%,92%,79%,83%,62%,8%,8%,8%
Hastings and Prince Edward DSB,V P Carswell PS,3,en,1,100%,100%,100%,80%,53%,60%,0%,0%,0%
Conseil scolaire du Grand Nord,École P Foyer-Jeunesse,3,fr,1,85%,85%,85%,65%,71%,59%,15%,15%,15%
Durham DSB,Valley View PS,3,en,1,100%,100%,100%,82%,84%,79%,0%,0%,0%
DSB of Niagara,Valley Way PS,3,en,1,88%,88%,88%,79%,48%,72%,9%,9%,9%
Bluewater DSB,Walkerton District Community School Elementary,3,en,1,97%,100%,100%,33%,24%,26%,0%,0%,0%
