BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Peel District School Board,Hilldale PS,3,en,1,90%,90%,90%,69%,42%,50%,10%,10%,10%
Hamilton-Wentworth DSB,Prince of Wales Elementary School,3,en,1,100%,100%,98%,61%,49%,48%,0%,0%,0%
Toronto DSB,Hillmount PS,3,en,1,100%,100%,100%,92%,88%,88%,0%,0%,0%
Durham DSB,Hillsdale PS,3,en,1,100%,100%,100%,73%,27%,60%,0%,0%,0%
Peel District School Board,Hillside Sr PS,3,en,1,96%,100%,94%,69%,39%,57%,4%,0%,6%
Conseil scolaire du Grand Nord,É publique l'Escalade,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Ottawa-Carleton DSB,Hilson Avenue PS,3,en,1,92%,92%,92%,87%,83%,83%,8%,8%,8%
Le C.S. public du Nord-Est de l'Ontario,É Publique Des Navigateurs,3,fr,1,100%,100%,100%,35%,18%,47%,0%,0%,0%
Durham DSB,Maamawi iyaawag P.S.,3,en,1,91%,91%,91%,66%,57%,55%,9%,9%,9%
Hamilton-Wentworth DSB,Holbrook,3,en,1,90%,90%,90%,63%,44%,56%,10%,10%,10%
Bluewater DSB,Holland-Chatsworth Central S,3,en,1,91%,91%,91%,40%,30%,30%,0%,0%,0%
Toronto DSB,Hollywood PS,3,en,1,96%,96%,96%,94%,94%,100%,4%,4%,4%
Simcoe County DSB,Holly Meadows Elementary School,3,en,1,98%,98%,98%,78%,73%,61%,0%,0%,0%
Limestone DSB,WJ Holsgrove PS,3,en,1,95%,95%,95%,80%,70%,75%,5%,5%,5%
Peel District School Board,Homestead PS,3,en,1,99%,99%,99%,65%,55%,57%,1%,1%,1%
Thames Valley District School Board,Pierre Elliott Trudeau French Immersion PS,3,en,1,97%,97%,97%,62%,38%,73%,0%,0%,0%
Hamilton-Wentworth DSB,Viola Desmond Elementary School,3,en,1,86%,86%,86%,58%,53%,42%,10%,11%,11%
Thames Valley District School Board,Ashley Oak PS,3,en,1,72%,72%,72%,42%,37%,29%,23%,23%,23%
DSB of Niagara,Jeanne Sauve Public School,3,en,1,98%,99%,99%,84%,72%,77%,0%,0%,0%
Ottawa-Carleton DSB,Hopewell Avenue PS,3,en,1,100%,100%,100%,95%,88%,98%,0%,0%,0%
Algoma DSB,Hornepayne Public School,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
York Region DSB,Ashton Meadows PS,3,en,1,100%,93%,100%,71%,46%,50%,0%,0%,0%
Grand Erie DSB,Houghton PS,3,en,1,75%,75%,75%,56%,22%,52%,25%,25%,25%
Lambton Kent District School Board,Naahii Ridge,3,en,1,97%,97%,97%,53%,40%,47%,3%,3%,3%
Waterloo Region DSB,Oak Creek Public School,3,en,1,98%,98%,98%,60%,56%,56%,2%,2%,2%
Rainbow District School Board,Assiginack PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Howard Jr PS,3,en,1,95%,95%,98%,76%,43%,63%,0%,0%,0%
Near North DSB,Alliance,3,en,1,100%,100%,100%,42%,25%,42%,0%,0%,0%
Waterloo Region DSB,Howard Robertson PS,3,en,1,91%,91%,91%,74%,55%,52%,6%,6%,6%
Upper Canada DSB,Pineview PS,3,en,1,100%,100%,100%,82%,68%,73%,0%,0%,0%
Hamilton-Wentworth DSB,Adelaide Hoodless PS,3,en,1,95%,96%,96%,83%,62%,60%,2%,2%,2%
Hastings and Prince Edward DSB,Athol-South Marysburgh PS,3,en,1,100%,100%,100%,100%,50%,30%,0%,0%,0%
Peel District School Board,Churchville Public School,3,en,1,97%,97%,97%,80%,74%,64%,2%,1%,1%
Avon Maitland DSB,Howick Central S,3,en,1,100%,100%,100%,87%,77%,74%,0%,0%,0%
Greater Essex County DSB,Hugh Beaton PS,3,en,1,93%,93%,93%,93%,75%,82%,7%,7%,7%
Avon Maitland DSB,Hullett Central PS,3,en,1,100%,100%,100%,82%,91%,86%,0%,0%,0%
DSB Ontario North East,Timmins Centennial School,3,en,1,N/D,N/D,100%,N/D,N/D,44%,N/D,N/D,0%
Toronto DSB,Humber Valley Village Jr & Md,3,en,1,94%,94%,94%,92%,85%,81%,6%,6%,6%
Toronto DSB,Humbercrest Jr & Sr PS,3,en,1,100%,100%,100%,73%,65%,80%,0%,0%,0%
York Region DSB,Elder's Mills PS,3,en,1,N/D,N/D,100%,N/D,N/D,76%,N/D,N/D,0%
Toronto DSB,Humewood Community C S,3,en,1,91%,91%,97%,86%,67%,62%,9%,9%,3%
Near North DSB,Humphrey Central PS,3,en,1,100%,100%,92%,83%,62%,64%,0%,0%,8%
Upper Grand DSB,Rickson Ridge PS,3,en,1,94%,94%,94%,89%,82%,79%,5%,5%,5%
Toronto DSB,Humberwood Downs Jr. Middle Academy S,3,en,1,97%,97%,97%,88%,80%,80%,3%,3%,3%
Avon Maitland DSB,Bluewater Coast Elementary School,3,en,1,100%,100%,100%,81%,88%,75%,0%,0%,0%
Toronto DSB,Hunter's Glen Jr PS,3,en,1,100%,100%,100%,65%,52%,48%,0%,0%,0%
Hamilton-Wentworth DSB,Huntington Park,3,en,1,95%,95%,95%,83%,71%,60%,2%,2%,2%
Peel District School Board,Huntington Ridge PS,3,en,1,94%,94%,94%,83%,73%,73%,6%,6%,6%
Ottawa-Carleton DSB,Huntley Centennial PS,3,en,1,100%,100%,100%,83%,74%,80%,0%,0%,0%
Trillium Lakelands DSB,Huntsville PS,3,en,1,88%,88%,88%,81%,62%,67%,4%,4%,4%
Avon Maitland DSB,Huron Centennial PS,3,en,1,97%,97%,97%,72%,61%,64%,3%,3%,3%
Thames Valley District School Board,Louise Arbour French Immersion Public School,3,en,1,99%,99%,99%,70%,53%,68%,1%,1%,1%
Bluewater DSB,Huron Heights PS,3,en,1,98%,98%,98%,82%,61%,65%,0%,0%,0%
Simcoe County DSB,Huron Park PS,3,en,1,96%,96%,96%,70%,67%,67%,4%,4%,4%
Toronto DSB,Huron Street PS,3,en,1,100%,100%,100%,79%,75%,71%,0%,0%,0%
Simcoe County DSB,Huronia Centennial E S,3,en,1,100%,100%,100%,74%,60%,64%,0%,0%,0%
Peel District School Board,Huttonville PS,3,en,1,98%,98%,98%,85%,89%,72%,2%,2%,2%
Keewatin-Patricia DSB,Ignace  S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Lambton Kent District School Board,Indian Creek Road,3,en,1,96%,96%,96%,85%,74%,68%,4%,0%,0%
Toronto DSB,Indian Road Crescent Jr PS,3,en,1,97%,97%,97%,91%,88%,91%,3%,3%,3%
Toronto DSB,Inglewood Heights Jr PS,3,en,1,95%,95%,95%,65%,65%,68%,5%,5%,5%
Thames Valley District School Board,Innerkip Central PS,3,en,1,91%,91%,91%,81%,66%,72%,6%,6%,6%
Simcoe County DSB,Innisfil Central PS,3,en,1,100%,100%,100%,71%,50%,50%,0%,0%,0%
Peel District School Board,Elm Drive Public School,3,en,1,90%,90%,90%,76%,55%,61%,2%,2%,2%
Peel District School Board,Carberry PS,3,en,1,98%,98%,98%,82%,70%,67%,2%,2%,2%
Simcoe County DSB,Alcona Glen E S,3,en,1,98%,98%,98%,63%,53%,51%,0%,0%,0%
Toronto DSB,Ionview PS,3,en,1,81%,81%,81%,79%,66%,53%,17%,17%,17%
Upper Canada DSB,Iroquois PS,3,en,1,92%,92%,92%,81%,67%,75%,8%,8%,8%
Toronto DSB,Iroquois Jr PS,3,en,1,100%,100%,100%,100%,91%,96%,0%,0%,0%
Trillium Lakelands DSB,Irwin Memorial PS,3,en,1,100%,100%,100%,100%,86%,100%,0%,0%,0%
Algoma DSB,Isabel Fletcher PS,3,en,1,100%,100%,100%,68%,45%,41%,0%,0%,0%
Waterloo Region DSB,Williamsburg PS,3,en,1,91%,91%,91%,75%,62%,57%,6%,6%,6%
Toronto DSB,Island Public/Natural Science,3,en,1,95%,100%,95%,62%,55%,62%,0%,0%,0%
Toronto DSB,Islington Jr & Md S,3,en,1,100%,97%,100%,62%,61%,62%,0%,0%,0%
Greater Essex County DSB,John A McWilliam PS,3,en,1,79%,79%,79%,50%,50%,41%,21%,21%,21%
Waterloo Region DSB,J F Carmichael PS,3,en,1,88%,88%,92%,72%,65%,58%,11%,11%,8%
Toronto DSB,J G Workman PS,3,en,1,95%,95%,95%,68%,53%,53%,0%,0%,0%
Grand Erie DSB,J L Mitchener PS,3,en,1,87%,87%,87%,70%,62%,68%,11%,11%,11%
Durham DSB,Adelaide Mclaughlin PS,3,en,1,92%,92%,92%,59%,50%,50%,8%,8%,8%
York Region DSB,J L R Bell PS,3,en,1,76%,76%,76%,62%,69%,31%,18%,18%,18%
Halton DSB,J M Denyes PS,3,en,1,92%,92%,92%,64%,64%,53%,8%,8%,8%
Rainy River DSB,J W Walker PS,3,en,1,96%,96%,96%,76%,68%,72%,4%,4%,4%
Thames Valley District School Board,Jack Chambers PS,3,en,1,89%,89%,89%,93%,90%,95%,9%,9%,9%
Durham DSB,Jack Miner PS,3,en,1,100%,100%,100%,92%,86%,95%,0%,0%,0%
Toronto DSB,Jackman Avenue Jr PS,3,en,1,95%,95%,96%,89%,78%,72%,5%,5%,4%
DSB of Niagara,Jacob Beam PS,3,en,1,100%,97%,100%,91%,94%,94%,0%,0%,0%
Hamilton-Wentworth DSB,Janet Lee,3,en,1,85%,85%,85%,77%,85%,82%,15%,15%,15%
Bluewater DSB,Hanover Heights Community S,3,en,1,96%,96%,96%,65%,60%,54%,2%,2%,2%
Grand Erie DSB,James Hillier PS,3,en,1,97%,97%,97%,100%,71%,68%,3%,3%,3%
Simcoe County DSB,Boyne River Public School,3,en,1,100%,100%,100%,60%,44%,44%,0%,0%,0%
Hamilton-Wentworth DSB,James MacDonald PS,3,en,1,94%,94%,94%,65%,58%,52%,3%,3%,3%
Upper Grand DSB,James McQueen PS,3,en,1,100%,100%,100%,56%,22%,50%,0%,0%,0%
York Region DSB,Julliard Public School,3,en,1,N/D,N/D,100%,N/D,N/D,68%,N/D,N/D,0%
DSB of Niagara,James Morden PS,3,en,1,88%,90%,88%,71%,47%,50%,10%,10%,10%
Limestone DSB,James R Henderson PS,3,en,1,94%,94%,94%,84%,71%,73%,6%,6%,6%
York Region DSB,Ellen Fairclough PS,3,en,1,88%,88%,88%,65%,65%,61%,12%,12%,12%
York Region DSB,James Robinson PS,3,en,1,83%,87%,87%,79%,55%,70%,9%,9%,9%
Toronto DSB,James S Bell Jr & Md S,3,en,1,100%,100%,100%,74%,52%,56%,0%,0%,0%
Kawartha Pine Ridge DSB,James Strath PS,3,en,1,94%,94%,94%,82%,77%,77%,6%,6%,6%
DSB Ontario North East,Elk Lake PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Conseil scolaire Viamonde,École élémentaire Jeanne-Lajoie,3,fr,1,100%,100%,100%,90%,92%,92%,0%,0%,0%
Grand Erie DSB,Jarvis PS,3,en,1,98%,98%,98%,55%,48%,52%,0%,0%,0%
York Region DSB,Aurora Grove Elementary Public School,3,en,1,93%,93%,93%,76%,60%,72%,7%,7%,7%
Upper Grand DSB,Jean Little PS,3,en,1,100%,100%,100%,90%,80%,77%,0%,0%,0%
Upper Grand DSB,J Douglas Hogarth PS,3,en,1,99%,99%,97%,92%,76%,73%,0%,0%,0%
Peel District School Board,Jefferson PS,3,en,1,93%,93%,93%,87%,82%,66%,7%,7%,7%
York Region DSB,Jersey PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Jesse Ketchum Jr & Sr PS,3,en,1,100%,100%,100%,82%,91%,82%,0%,0%,0%
York Region DSB,Aurora Heights Public School,3,en,1,100%,100%,100%,67%,52%,67%,0%,0%,0%
Conseil scolaire du Grand Nord,É P Jeanne-Sauvé,3,fr,1,93%,93%,93%,57%,43%,64%,7%,7%,7%
Ottawa-Carleton DSB,Chapman Mills PS,3,en,1,93%,93%,93%,84%,78%,67%,7%,7%,7%
York Region DSB,Wellington PS,3,en,1,100%,100%,100%,91%,64%,73%,0%,0%,0%
Toronto DSB,John A Leslie PS,3,en,1,89%,89%,89%,62%,60%,50%,11%,11%,11%
York Region DSB,Johnsview Village PS,3,en,1,88%,88%,88%,100%,95%,82%,12%,12%,12%
Greater Essex County DSB,John Campbell PS,3,en,1,87%,87%,90%,52%,44%,46%,13%,13%,10%
Thames Valley District School Board,John Dearness PS,3,en,1,96%,96%,96%,96%,84%,96%,4%,4%,4%
Toronto DSB,John D Parker Jr S,3,en,1,96%,96%,96%,81%,76%,59%,4%,4%,4%
Toronto DSB,John English Jr & Md S,3,en,1,100%,100%,98%,81%,62%,71%,0%,0%,0%
Durham DSB,John Dryden PS,3,en,1,100%,100%,99%,81%,62%,69%,0%,0%,0%
Toronto DSB,John Fisher  PS,3,en,1,N/D,N/D,100%,N/D,N/D,81%,N/D,N/D,0%
Waterloo Region DSB,John Mahood Jr PS,3,en,1,100%,100%,100%,72%,57%,51%,0%,0%,0%
DSB of Niagara,John Marshall PS,3,en,1,85%,85%,85%,94%,94%,82%,15%,15%,15%
Toronto DSB,John McCrae Sr PS,3,en,1,95%,95%,95%,52%,54%,46%,0%,0%,0%
Upper Grand DSB,John McCrae PS,3,en,1,98%,98%,98%,80%,80%,72%,0%,0%,0%
Toronto DSB,J R Wilcox Community S,3,en,1,97%,100%,100%,74%,57%,49%,0%,0%,0%
Toronto DSB,John Ross Robertson Jr PS,3,en,1,100%,100%,100%,90%,64%,76%,0%,0%,0%
Halton DSB,John T Tuck PS,3,en,1,100%,100%,100%,92%,95%,92%,0%,0%,0%
Toronto DSB,John Wanless Jr PS,3,en,1,100%,100%,100%,93%,90%,89%,0%,0%,0%
Waterloo Region DSB,Avenue Road PS,3,en,1,94%,94%,94%,65%,52%,48%,6%,6%,6%
Ottawa-Carleton DSB,John Young E S,3,en,1,98%,98%,98%,70%,61%,61%,2%,2%,2%
Avon Maitland DSB,Little Falls P.S.,3,en,1,98%,98%,98%,80%,73%,71%,2%,2%,2%
Waterloo Region DSB,John Darling PS,3,en,1,96%,96%,96%,88%,56%,80%,0%,0%,0%
Algoma DSB,Central Algoma Elementary School,3,en,1,100%,100%,100%,68%,41%,59%,0%,0%,0%
Simcoe County DSB,Johnson Street PS,3,en,1,96%,100%,96%,68%,52%,45%,0%,0%,0%
Toronto DSB,Joseph Brant Sr PS,3,en,1,89%,89%,87%,44%,32%,32%,9%,9%,9%
York Region DSB,Joseph A Gibson PS,3,en,1,87%,87%,87%,81%,81%,85%,13%,13%,13%
Halton DSB,Joseph Gibbons PS,3,en,1,100%,100%,100%,95%,74%,68%,0%,0%,0%
Durham DSB,Joseph Gould PS,3,en,1,100%,100%,98%,80%,63%,75%,0%,0%,0%
Toronto DSB,Avondale Public School,3,en,1,100%,100%,100%,73%,58%,61%,0%,0%,0%
Ottawa-Carleton DSB,Jockvale E S,3,en,1,100%,100%,100%,73%,56%,45%,0%,0%,0%
Toronto DSB,Joyce PS,3,en,1,100%,100%,100%,72%,44%,72%,0%,0%,0%
Upper Grand DSB,June Avenue PS,3,en,1,74%,74%,74%,94%,88%,94%,22%,22%,22%
Avon Maitland DSB,Avon PS,3,en,1,96%,96%,96%,78%,74%,67%,4%,4%,4%
Toronto DSB,Forest Hill Jr & Sr PS,3,en,1,96%,96%,96%,73%,73%,65%,0%,0%,0%
Lakehead DSB,Kakabeka Falls District PS,3,en,1,100%,100%,100%,78%,65%,57%,0%,0%,0%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique Grande-Ourse,3,fr,1,97%,97%,97%,97%,95%,92%,3%,3%,3%
Ottawa-Carleton DSB,Jack Donohue PS,3,en,1,98%,98%,98%,78%,72%,80%,2%,2%,2%
Hamilton-Wentworth DSB,Ancaster Meadow ES,3,en,1,90%,90%,90%,80%,73%,51%,8%,8%,8%
Toronto DSB,Silverthorn Community School,3,en,1,79%,79%,79%,74%,70%,52%,21%,21%,21%
Toronto DSB,Rene Gordon Health and Wellness Academy,3,en,1,88%,88%,93%,78%,86%,50%,12%,12%,7%
Ottawa-Carleton DSB,Kars on the Rideau PS,3,en,1,100%,100%,100%,59%,62%,46%,0%,0%,0%
DSB of Niagara,Kate S. Durdan,3,en,1,98%,98%,98%,91%,91%,89%,2%,2%,2%
Toronto DSB,Alvin Curling Public School,3,en,1,92%,92%,92%,76%,65%,70%,0%,0%,0%
Kawartha Pine Ridge DSB,Kawartha Heights PS,3,en,1,94%,94%,94%,88%,71%,59%,6%,6%,6%
Waterloo Region DSB,Keatsway PS,3,en,1,97%,97%,97%,79%,69%,69%,0%,0%,0%
Durham DSB,Beaver River Public School,3,en,1,96%,96%,96%,73%,47%,53%,0%,0%,0%
Toronto DSB,Keele Street Jr & City,3,en,1,98%,98%,98%,80%,64%,70%,2%,2%,2%
Upper Canada DSB,Avonmore Elementary School,3,en,1,100%,100%,100%,71%,63%,49%,0%,0%,0%
Toronto DSB,Keelesdale Jr PS,3,en,1,89%,89%,89%,38%,38%,31%,11%,11%,11%
Keewatin-Patricia DSB,Keewatin PS,3,en,1,100%,100%,100%,56%,50%,56%,0%,0%,0%
Kawartha Pine Ridge DSB,Keith Wightman PS,3,en,1,86%,86%,86%,56%,44%,44%,14%,14%,14%
Upper Canada DSB,Kemptville PS,3,en,1,99%,99%,99%,68%,58%,60%,1%,1%,1%
Upper Grand DSB,Kenilworth PS,3,en,1,94%,94%,94%,67%,60%,53%,6%,6%,6%
Peel District School Board,Kenollie PS,3,en,1,100%,100%,100%,100%,100%,87%,0%,0%,0%
Thames Valley District School Board,Kensal Park PS,3,en,1,100%,100%,100%,65%,51%,71%,0%,0%,0%
Toronto DSB,Kensington Community S,3,en,1,79%,79%,79%,100%,100%,91%,7%,7%,7%
Kawartha Pine Ridge DSB,Kent PS,3,en,1,100%,100%,100%,30%,22%,22%,0%,0%,0%
Hastings and Prince Edward DSB,Kente PS,3,en,1,100%,100%,100%,65%,50%,25%,0%,0%,0%
York Region DSB,Lake Simcoe PS,3,en,1,98%,100%,98%,71%,52%,45%,0%,0%,0%
Bluewater DSB,Keppel-Sarawak E S,3,en,1,92%,92%,90%,70%,77%,83%,8%,8%,8%
DSB Ontario North East,Kerns PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
York Region DSB,Keswick Public S,3,en,1,N/D,N/D,98%,N/D,N/D,45%,N/D,N/D,2%
York Region DSB,Kettleby PS,3,en,1,100%,100%,100%,94%,81%,62%,0%,0%,0%
Toronto DSB,Kew Beach Jr PS,3,en,1,93%,93%,93%,81%,60%,83%,7%,7%,7%
Renfrew County DSB,Mackenzie Community School - Elementary,3,en,1,98%,98%,98%,78%,71%,64%,2%,2%,2%
Halton DSB,Kilbride PS,3,en,1,95%,95%,95%,62%,57%,67%,5%,5%,5%
Renfrew County DSB,Killaloe PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Kimberley Jr PS,3,en,1,98%,98%,98%,85%,82%,72%,2%,2%,2%
Peel District School Board,Kindree Elementary Public School,3,en,1,91%,91%,91%,66%,49%,49%,8%,6%,6%
Simcoe County DSB,Adjala Central PS,3,en,1,97%,97%,97%,76%,69%,69%,3%,3%,3%
Bluewater DSB,Elgin Market PS,3,en,1,94%,94%,94%,77%,68%,81%,3%,3%,3%
Trillium Lakelands DSB,King Albert PS,3,en,1,87%,87%,87%,80%,55%,50%,13%,13%,13%
DSB of Niagara,Harriet Tubman Public School,3,en,1,95%,95%,95%,71%,67%,60%,5%,5%,5%
Waterloo Region DSB,King Edward PS,3,en,1,85%,97%,97%,55%,33%,36%,0%,0%,0%
Waterloo Region DSB,Ayr PS,3,en,1,96%,96%,96%,62%,58%,71%,4%,4%,4%
Greater Essex County DSB,King Edward PS,3,en,1,84%,84%,84%,69%,47%,58%,16%,16%,16%
Toronto DSB,King Edward Jr & Sr PS,3,en,1,100%,100%,100%,86%,93%,71%,0%,0%,0%
Grand Erie DSB,King George PS,3,en,1,97%,97%,97%,76%,53%,45%,3%,3%,3%
Upper Grand DSB,King George PS,3,en,1,97%,97%,97%,83%,72%,64%,3%,3%,3%
Toronto DSB,King George Jr PS,3,en,1,97%,97%,97%,97%,88%,91%,0%,0%,0%
Keewatin-Patricia DSB,King George VI S,3,en,1,92%,92%,92%,74%,57%,57%,8%,8%,8%
Lambton Kent District School Board,King George VI,3,en,1,93%,93%,93%,78%,52%,63%,3%,3%,3%
Lambton Kent District School Board,King George VI,3,en,1,95%,95%,95%,80%,70%,60%,5%,5%,5%
York Region DSB,King City PS,3,en,1,89%,89%,89%,84%,72%,88%,11%,11%,11%
Peel District School Board,Kingswood Dr PS,3,en,1,93%,93%,93%,74%,68%,60%,6%,6%,6%
Conseil scolaire Viamonde,École Ronald-Marion,3,fr,1,95%,95%,95%,94%,94%,97%,5%,5%,5%
York Region DSB,Schomberg PS,3,en,1,100%,100%,100%,61%,50%,61%,0%,0%,0%
York Region DSB,Terry Fox PS,3,en,1,90%,90%,88%,92%,87%,84%,10%,10%,12%
Halton DSB,King's Road PS,3,en,1,97%,97%,97%,79%,66%,66%,0%,0%,0%
Toronto DSB,Kingslake PS,3,en,1,78%,78%,78%,68%,44%,52%,16%,16%,16%
Hastings and Prince Edward DSB,CENTRAL HASTINGS SCHOOL - Elementary,3,en,1,94%,94%,94%,80%,60%,63%,6%,6%,6%
Toronto DSB,Kingsview Village Jr S,3,en,1,98%,98%,98%,64%,68%,54%,2%,2%,2%
Greater Essex County DSB,Erie Migration District School - Elementary,3,en,1,91%,97%,93%,76%,75%,63%,1%,1%,0%
Lakehead DSB,Kingsway Park PS,3,en,1,97%,97%,97%,81%,84%,81%,0%,0%,0%
Toronto DSB,Bala Avenue Community S,3,en,1,92%,92%,88%,50%,41%,62%,4%,8%,8%
Algoma DSB,Kiwedin PS,3,en,1,96%,96%,96%,78%,65%,57%,4%,4%,4%
York Region DSB,Kleinburg PS,3,en,1,98%,98%,98%,82%,78%,74%,2%,2%,2%
Conseil scolaire Viamonde,École Élémentaire la Fontaine,3,fr,1,100%,100%,100%,91%,86%,91%,0%,0%,0%
Toronto DSB,Knob Hill Jr PS,3,en,1,86%,86%,86%,66%,48%,48%,4%,4%,4%
Thames Valley District School Board,John Wise Public School,3,en,1,99%,99%,99%,58%,50%,50%,0%,0%,0%
Thames Valley District School Board,Knollwood Park PS,3,en,1,93%,95%,93%,53%,51%,39%,5%,5%,5%
Ottawa-Carleton DSB,Knoxdale PS,3,en,1,94%,94%,94%,92%,89%,78%,6%,6%,6%
Waterloo Region DSB,Lackner Woods PS,3,en,1,97%,97%,97%,83%,63%,80%,3%,1%,1%
Upper Canada DSB,Laggan PS,3,en,1,93%,93%,93%,81%,69%,58%,7%,7%,7%
Hamilton-Wentworth DSB,Lake Avenue PS,3,en,1,88%,88%,89%,53%,45%,34%,12%,12%,11%
York Region DSB,Lake Wilcox Elementary Public School,3,en,1,93%,93%,90%,74%,52%,73%,7%,7%,7%
Lambton Kent District School Board,Lakeroad,3,en,1,93%,93%,93%,92%,77%,85%,7%,7%,7%
York Region DSB,Lakeside PS,3,en,1,94%,97%,97%,72%,52%,67%,3%,3%,3%
Halton DSB,Lakeshore PS,3,en,1,95%,95%,95%,55%,65%,60%,5%,5%,5%
Durham DSB,Lakeside PS,3,en,1,100%,100%,100%,91%,64%,61%,0%,0%,0%
DSB of Niagara,Lakeview PS,3,en,1,100%,100%,100%,72%,68%,72%,0%,0%,0%
Ottawa-Carleton DSB,Lakeview PS,3,en,1,97%,97%,97%,70%,70%,73%,3%,3%,3%
Toronto DSB,Lamberton PS,3,en,1,96%,96%,96%,70%,66%,52%,0%,0%,0%
Lambton Kent District School Board,Lambton Central Centennial,3,en,1,100%,100%,100%,70%,57%,60%,0%,0%,0%
Toronto DSB,Lambton Kingsway Jr & Md S,3,en,1,100%,100%,100%,96%,95%,91%,0%,0%,0%
Toronto DSB,Lambton Park Community S,3,en,1,81%,81%,81%,62%,46%,38%,6%,6%,6%
Simcoe County DSB,Andrew Hunter E S,3,en,1,93%,93%,93%,55%,38%,45%,2%,2%,2%
Limestone DSB,Lancaster Drive PS,3,en,1,100%,100%,100%,88%,82%,80%,0%,0%,0%
York Region DSB,Ballantrae PS,3,en,1,88%,88%,88%,87%,73%,80%,6%,6%,6%
Peel District School Board,Lancaster PS,3,en,1,91%,97%,91%,62%,59%,44%,0%,3%,3%
Keewatin-Patricia DSB,Golden Learning Centre,3,en,1,95%,100%,95%,95%,90%,89%,0%,0%,0%
Limestone DSB,Land O Lakes PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
York Region DSB,Lester B Pearson PS,3,en,1,N/D,N/D,100%,N/D,N/D,76%,N/D,N/D,0%
Trillium Lakelands DSB,Langton PS,3,en,1,97%,97%,97%,95%,97%,97%,3%,3%,3%
York Region DSB,Wendat Village PS,3,en,1,100%,100%,100%,87%,90%,85%,0%,0%,0%
Toronto DSB,Lanor Jr & Md S,3,en,1,96%,96%,96%,91%,95%,68%,4%,4%,4%
Grand Erie DSB,Lansdowne-T B Costain PS,3,en,1,85%,85%,85%,64%,57%,68%,3%,3%,3%
Lambton Kent District School Board,Lansdowne,3,en,1,97%,97%,97%,67%,39%,48%,3%,3%,3%
Rainbow District School Board,Lansdowne PS,3,en,1,83%,83%,83%,58%,26%,42%,17%,17%,17%
Peel District School Board,Larkspur PS,3,en,1,95%,95%,95%,60%,55%,57%,5%,5%,5%
Waterloo Region DSB,Laurelwood P.S.,3,en,1,89%,89%,89%,88%,82%,90%,11%,11%,11%
Toronto DSB,Lord Lansdowne Jr & Sr PS,3,en,1,N/D,N/D,100%,N/D,N/D,78%,N/D,N/D,0%
Greater Essex County DSB,LaSalle Elementary Public School,3,en,1,94%,94%,94%,78%,73%,70%,4%,4%,4%
Durham DSB,Viola Desmond Public School,3,en,1,99%,97%,99%,64%,58%,64%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire Laure-Rièse,3,fr,1,96%,96%,96%,100%,95%,100%,4%,4%,4%
Peel District School Board,James Potter PS,3,en,1,88%,88%,88%,72%,57%,57%,12%,12%,12%
Toronto DSB,Balmy Beach Community School,3,en,1,100%,100%,100%,95%,90%,93%,0%,0%,0%
York Region DSB,Roméo Dallaire Public School,3,en,1,N/D,N/D,100%,N/D,N/D,86%,N/D,N/D,0%
Ottawa-Carleton DSB,Stephen Leacock PS,3,en,1,99%,99%,99%,87%,85%,93%,0%,0%,0%
Halton DSB,P.L. Robertson Public School,3,en,1,95%,96%,97%,74%,60%,55%,2%,2%,2%
Toronto DSB,Ledbury Park E & Md S,3,en,1,98%,98%,100%,72%,83%,70%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire Les Rapides,3,fr,1,94%,100%,100%,44%,53%,47%,0%,0%,0%
Simcoe County DSB,Killarney Beach PS,3,en,1,95%,95%,93%,83%,75%,75%,5%,5%,5%
Upper Grand DSB,Laurelwoods E.S.,3,en,1,89%,89%,89%,100%,94%,100%,0%,0%,0%
Toronto DSB,Lescon PS,3,en,1,95%,95%,95%,59%,46%,27%,3%,3%,3%
Trillium Lakelands DSB,Leslie Frost PS,3,en,1,98%,98%,98%,59%,63%,61%,0%,0%,0%
Durham DSB,Lester B Pearson PS,3,en,1,100%,100%,100%,71%,45%,58%,0%,0%,0%
Waterloo Region DSB,Lester B Pearson Public School,3,en,1,100%,100%,100%,75%,62%,73%,0%,0%,0%
