School Name,Board Name,Municipality,School Level,School Language,Grade6Reading,LowIncome_pct,NoDegree_pct,Density_2021,Grade6Reading_pct,Grade6Writing_pct,Grade6Math_pct,Grade3Reading_pct,Grade3Math_pct,Grade6Reading_3yr_change,Grade6Math_3yr_change,SpecialEd_pct,Enrolment,City,Latitude,Longitude,EquityRisk
Uxbridge Public School,Durham DSB,uxbridge,Elementary,English,77.0,5.0,0.0,51.3,77%,80%,63%,N/D,38%,-17.0,24.0,10,270,UXBRIDGE,44.10531,-79.1267,False
Valley Farm Public School,Durham DSB,pickering,Elementary,English,79.0,6.0,4.0,429.2,79%,71%,42%,75%,72%,-9.0,-6.0,7,765,PICKERING,43.85836,-79.0872,False
Valley View Public School,Durham DSB,pickering,Elementary,English,88.0,5.0,5.0,429.2,88%,96%,65%,83%,62%,-7.0,-6.0,5,340,Greenwood,43.92648,-79.06581,False
Vaughan Willard Public School,Durham DSB,pickering,Elementary,English,85.0,0.0,0.0,429.2,85%,74%,41%,96%,82%,-3.0,1.0,20,310,PICKERING,43.83742,-79.1012,False
Village Union Public School,Durham DSB,oshawa,Elementary,English,63.0,21.0,11.0,1203.6,63%,70%,17%,60%,47%,3.0,11.0,18,575,Oshawa,43.89062,-78.8615,False
Vimy Ridge Public School,Durham DSB,ajax,Elementary,English,82.0,4.0,4.0,1900.6,82%,82%,56%,81%,71%,-9.0,4.0,5,675,Ajax,43.87849,-79.0485,False
Vincent Massey Public School,Durham DSB,oshawa,Elementary,English,70.0,6.0,2.0,1203.6,70%,70%,27%,67%,69%,-8.0,-6.0,11,785,Oshawa,43.91046,-78.836,False
Viola Desmond Public School,Durham DSB,ajax,Elementary,English,83.0,7.0,6.0,1900.6,83%,82%,46%,66%,58%,0.0,7.0,10,855,Ajax,43.88126,-79.0061,False
Walter E Harris Public School,Durham DSB,oshawa,Elementary,English,78.0,10.0,0.0,1203.6,78%,80%,33%,N/D,70%,-7.0,-22.0,10,455,OSHAWA,43.91447,-78.8547,False
Waverly Public School,Durham DSB,oshawa,Elementary,English,79.0,10.0,10.0,1203.6,79%,79%,33%,64%,51%,0.0,18.0,15,430,Oshawa,43.88848,-78.887,False
West Lynde Public School,Durham DSB,whitby,Elementary,English,81.0,12.0,9.0,944.1,81%,72%,43%,84%,67%,16.0,18.0,9,655,Whitby,43.87268,-78.9526,False
Westcreek Public School,Durham DSB,pickering,Elementary,English,85.0,5.0,2.0,429.2,85%,83%,46%,82%,65%,-9.0,-15.0,5,600,PICKERING,43.82331,-79.1428,False
Westney Heights Public School,Durham DSB,ajax,Elementary,English,85.0,5.0,5.0,1900.6,85%,90%,62%,52%,32%,-1.0,21.0,15,370,AJAX,43.86507,-79.046,False
Whitby Shores Public School,Durham DSB,whitby,Elementary,English,89.0,2.0,0.0,944.1,89%,87%,50%,92%,92%,0.0,-1.0,11,655,Whitby,43.85543,-78.9505,False
William Dunbar Public School,Durham DSB,pickering,Elementary,English,94.0,4.0,0.0,429.2,94%,87%,71%,85%,78%,0.0,-14.0,8,650,Pickering,43.83746,-79.1056,False
Williamsburg Public School,Durham DSB,whitby,Elementary,English,82.0,4.0,3.0,944.1,82%,80%,55%,89%,82%,-10.0,-11.0,6,780,Whitby,43.90364,-78.9757,False
Willows Walk Public School,Durham DSB,whitby,Elementary,English,68.0,5.0,4.0,944.1,68%,70%,50%,94%,85%,-29.0,7.0,7,520,Whitby,43.9250364,-78.937747,False
Winchester Public School,Durham DSB,oshawa,Elementary,English,84.0,4.0,0.0,1203.6,84%,82%,58%,70%,66%,-5.0,16.0,13,530,BROOKLIN,43.96112,-78.951,False
Woodcrest Public School,Durham DSB,oshawa,Elementary,English,68.0,15.0,10.0,1203.6,68%,65%,26%,43%,28%,-8.0,21.0,10,375,Oshawa,43.90123,-78.8861,False
da Vinci Public School Public School,Durham DSB,ajax,Elementary,English,85.0,6.0,4.0,1900.6,85%,87%,58%,71%,54%,0.0,-1.0,7,775,Ajax,43.89312,-79.0291,False
Agnes Hodge Public School,Grand Erie DSB,brantford,Elementary,English,53.0,10.0,4.0,1061.2,53%,52%,21%,56%,50%,-3.0,8.0,12,735,Brantford,43.12461,-80.2711,True
Banbury Heights School,Grand Erie DSB,brantford,Elementary,English,64.0,10.0,5.0,1061.2,64%,69%,31%,66%,51%,-1.0,21.0,5,410,Brantford,43.18925,-80.2368,False
Bellview Public School,Grand Erie DSB,brantford,Elementary,English,44.0,20.0,5.0,1061.2,44%,34%,14%,67%,50%,-35.0,-36.0,15,335,Brantford,43.12286,-80.2503,True
Bloomsburg Public School,Grand Erie DSB,norfolk county,Elementary,English,65.0,0.0,0.0,42.2,65%,83%,48%,64%,52%,-35.0,-7.0,10,255,Waterford,42.88549,-80.2974,False
Boston Public School,Grand Erie DSB,norfolk county,Elementary,English,80.0,5.0,0.0,42.2,80%,63%,53%,75%,62%,-10.0,5.0,10,255,Waterford,42.99162,-80.2706,False
Branlyn Community School,Grand Erie DSB,brantford,Elementary,English,83.0,10.0,5.0,1061.2,83%,83%,43%,44%,28%,21.0,16.0,10,450,Brantford,43.18205,-80.2367,False
Brier Park Public School,Grand Erie DSB,brantford,Elementary,English,61.0,10.0,5.0,1061.2,61%,61%,22%,61%,50%,-7.0,12.0,10,335,Brantford,43.17615,-80.2549,False
Burford District Elementary School,Grand Erie DSB,brant,Elementary,English,78.0,3.0,2.0,132.3,78%,76%,48%,76%,67%,14.0,27.0,8,530,Burford,43.09948,-80.4297,False
Burford District Elementary School,Grand Erie DSB,brant,Elementary,English,78.0,3.0,2.0,48.3,78%,76%,48%,76%,67%,14.0,27.0,8,530,Burford,43.09948,-80.4297,False
Caledonia Centennial Public School,Grand Erie DSB,haldimand county,Elementary,English,80.0,9.0,2.0,39.4,80%,78%,40%,56%,52%,-9.0,21.0,7,600,Caledonia,43.07656,-79.9533,False
Cedarland Public School,Grand Erie DSB,brantford,Elementary,English,95.0,5.0,0.0,1061.2,95%,90%,48%,36%,36%,9.0,5.0,10,275,Brantford,43.18445,-80.263,False
Centennial-Grand Woodlands School,Grand Erie DSB,brantford,Elementary,English,35.0,10.0,5.0,1061.2,35%,35%,24%,24%,24%,4.0,9.0,15,155,Brantford,43.1757,-80.2653,True
Central Public School,Grand Erie DSB,brantford,Elementary,English,57.0,30.0,10.0,1061.2,57%,57%,9%,50%,30%,36.0,-5.0,20,225,Brantford,43.14448,-80.2628,True
Cobblestone Elementary School,Grand Erie DSB,brant,Elementary,English,67.0,4.0,1.0,132.3,67%,60%,41%,41%,46%,-10.0,16.0,8,605,Paris,43.17941,-80.3945,False
Cobblestone Elementary School,Grand Erie DSB,brant,Elementary,English,67.0,4.0,1.0,48.3,67%,60%,41%,41%,46%,-10.0,16.0,8,605,Paris,43.17941,-80.3945,False
Confederation Elementary School,Grand Erie DSB,brantford,Elementary,English,64.0,5.0,0.0,1061.2,64%,89%,50%,76%,76%,-30.0,-7.0,5,455,Brantford,43.16773,-80.2907,False
Courtland Public School,Grand Erie DSB,norfolk county,Elementary,English,79.0,5.0,25.0,42.2,79%,79%,64%,68%,68%,-3.0,9.0,10,225,Courtland,42.84299,-80.6351,False
Delhi Public School,Grand Erie DSB,norfolk county,Elementary,English,77.0,5.0,10.0,42.2,77%,71%,23%,80%,78%,-8.0,-15.0,10,380,Delhi,42.85277,-80.4967,False
Dufferin Public School,Grand Erie DSB,brantford,Elementary,English,79.0,10.0,0.0,1061.2,79%,75%,50%,68%,68%,-21.0,-18.0,5,315,Brantford,43.14354,-80.2817,False
Echo Place PS,Grand Erie DSB,brantford,Elementary,English,81.0,10.0,0.0,1061.2,81%,71%,57%,46%,77%,12.0,11.0,15,175,Brantford,43.14227,-80.2327,False
Edith Monture Elementary School,Grand Erie DSB,brantford,Elementary,English,84.0,8.0,3.0,1061.2,84%,75%,49%,68%,56%,-1.0,10.0,10,765,Brantford,43.12379,-80.2977,False
Elgin Avenue Public School,Grand Erie DSB,norfolk county,Elementary,English,90.0,15.0,10.0,42.2,90%,81%,33%,64%,32%,27.0,7.0,10,270,Simcoe,42.83702,-80.3141,False
Glen Morris Central Public School,Grand Erie DSB,brant,Elementary,English,65.0,5.0,0.0,132.3,65%,59%,35%,80%,70%,-18.0,-40.0,10,190,Glen Morris,43.27321,-80.3445,False
Glen Morris Central Public School,Grand Erie DSB,brant,Elementary,English,65.0,5.0,0.0,48.3,65%,59%,35%,80%,70%,-18.0,-40.0,10,190,Glen Morris,43.27321,-80.3445,False
Graham Bell-Victoria Public School,Grand Erie DSB,brantford,Elementary,English,60.0,25.0,0.0,1061.2,60%,40%,10%,13%,27%,10.0,2.0,15,160,Brantford,43.15318,-80.2687,False
Grandview Public School,Grand Erie DSB,brantford,Elementary,English,64.0,15.0,5.0,1061.2,64%,73%,30%,6%,19%,-23.0,10.0,20,160,Brantford,43.15726,-80.2702,False
Greenbrier Public School,Grand Erie DSB,brantford,Elementary,English,75.0,0.0,0.0,1061.2,75%,75%,31%,68%,52%,-10.0,8.0,15,215,Brantford,43.1789,-80.2745,False
Hagersville Elementary School,Grand Erie DSB,haldimand county,Elementary,English,73.0,10.0,5.0,39.4,73%,55%,5%,74%,48%,11.0,-26.0,10,310,Hagersville,42.95673,-80.0507,False
Houghton Public School,Grand Erie DSB,norfolk county,Elementary,English,52.0,10.0,50.0,42.2,52%,52%,12%,40%,28%,-13.0,-1.0,10,270,Langton,42.65044,-80.6619,True
J L Mitchener Public School,Grand Erie DSB,haldimand county,Elementary,English,89.0,5.0,0.0,39.4,89%,95%,66%,63%,58%,18.0,37.0,10,370,Cayuga,42.94426,-79.8526,False
James Hillier Public School,Grand Erie DSB,brantford,Elementary,English,88.0,0.0,0.0,1061.2,88%,75%,53%,63%,33%,2.0,17.0,10,295,Brantford,43.16101,-80.2822,False
Jarvis Public School,Grand Erie DSB,norfolk county,Elementary,English,79.0,0.0,0.0,42.2,79%,59%,26%,67%,59%,-6.0,-8.0,5,390,Jarvis,42.88817,-80.1104,False
King George School,Grand Erie DSB,brantford,Elementary,English,62.0,15.0,10.0,1061.2,62%,56%,22%,68%,60%,-27.0,-8.0,25,350,Brantford,43.14546,-80.2484,False
Lakewood Elementary School,Grand Erie DSB,norfolk county,Elementary,English,85.0,3.0,1.0,42.2,85%,78%,47%,71%,63%,-4.0,3.0,10,630,Port Dover,42.78893,-80.1891,False
Langton Public School,Grand Erie DSB,norfolk county,Elementary,English,73.0,10.0,45.0,42.2,73%,73%,40%,73%,55%,0.0,13.0,20,185,Langton,42.73997,-80.5819,False
Lansdowne-Costain Public School,Grand Erie DSB,brantford,Elementary,English,70.0,10.0,5.0,1061.2,70%,70%,33%,56%,37%,-30.0,1.0,10,340,Brantford,43.15057,-80.2888,False
Lynndale Heights Public School,Grand Erie DSB,norfolk county,Elementary,English,67.0,10.0,5.0,42.2,67%,73%,45%,82%,70%,-16.0,5.0,10,435,Simcoe,42.83913,-80.287,False
Major Ballachey Public School,Grand Erie DSB,brantford,Elementary,English,58.0,20.0,15.0,1061.2,58%,54%,27%,21%,14%,2.0,21.0,20,290,Brantford,43.13726,-80.2472,True
Mapleview Elementary School,Grand Erie DSB,haldimand county,Elementary,English,61.0,5.0,0.0,39.4,61%,69%,47%,57%,57%,-3.0,22.0,15,390,Dunnville,42.91135,-79.6165,False
Mount Pleasant School,Grand Erie DSB,brantford,Elementary,English,80.0,5.0,0.0,1061.2,80%,72%,62%,50%,44%,-12.0,-11.0,10,245,Mount Pleasant,43.08173,-80.3125,False
North Ward School,Grand Erie DSB,brant,Elementary,English,80.0,5.0,5.0,132.3,80%,67%,47%,75%,53%,3.0,9.0,10,440,Paris,43.20478,-80.3976,False
North Ward School,Grand Erie DSB,brant,Elementary,English,80.0,5.0,5.0,48.3,80%,67%,47%,75%,53%,3.0,9.0,10,440,Paris,43.20478,-80.3976,False
Oakland-Scotland Public School,Grand Erie DSB,brant,Elementary,English,77.0,0.0,5.0,132.3,77%,81%,38%,46%,50%,-15.0,6.0,10,220,Scotland,43.02259,-80.3774,False
Oakland-Scotland Public School,Grand Erie DSB,brant,Elementary,English,77.0,0.0,5.0,48.3,77%,81%,38%,46%,50%,-15.0,6.0,10,220,Scotland,43.02259,-80.3774,False
Oneida Central Public School,Grand Erie DSB,haldimand county,Elementary,English,100.0,0.0,0.0,39.4,100%,100%,61%,73%,60%,12.0,3.0,10,235,Caledonia,43.00834,-79.9532,False
Onondaga-Brant Public School,Grand Erie DSB,brantford,Elementary,English,61.0,0.0,5.0,1061.2,61%,61%,30%,73%,45%,-24.0,-16.0,10,220,Brantford,43.14958,-80.1738,False
Paris Central Public School,Grand Erie DSB,brant,Elementary,English,81.0,5.0,10.0,132.3,81%,81%,46%,83%,72%,-1.0,20.0,10,245,Paris,43.19473,-80.386,False
Paris Central Public School,Grand Erie DSB,brant,Elementary,English,81.0,5.0,10.0,48.3,81%,81%,46%,83%,72%,-1.0,20.0,10,245,Paris,43.19473,-80.386,False
Port Rowan Public School,Grand Erie DSB,norfolk county,Elementary,English,93.0,5.0,15.0,42.2,93%,86%,50%,81%,81%,-7.0,-17.0,10,235,Port Rowan,42.62444,-80.4548,False
Prince Charles Public School,Grand Erie DSB,brantford,Elementary,English,30.0,20.0,5.0,1061.2,30%,43%,16%,60%,40%,-24.0,-13.0,20,205,Brantford,43.16273,-80.2571,True
Princess Elizabeth Public School,Grand Erie DSB,brantford,Elementary,English,44.0,30.0,10.0,1061.2,44%,47%,12%,12%,4%,-23.0,-5.0,20,230,Brantford,43.12438,-80.2599,True
Rainham Central School,Grand Erie DSB,haldimand county,Elementary,English,96.0,5.0,0.0,39.4,96%,91%,61%,66%,51%,11.0,20.0,10,275,Fisherville,42.88263,-79.8952,False
River Heights School,Grand Erie DSB,haldimand county,Elementary,English,97.0,3.0,1.0,39.4,97%,90%,79%,76%,83%,6.0,27.0,9,600,Caledonia,43.07084,-79.9514,False
Russell Reid Public School,Grand Erie DSB,brantford,Elementary,English,69.0,0.0,5.0,1061.2,69%,66%,47%,60%,43%,-23.0,7.0,10,310,Brantford,43.17169,-80.2886,False
Seneca Central Public School,Grand Erie DSB,haldimand county,Elementary,English,82.0,0.0,0.0,39.4,82%,82%,27%,61%,52%,-18.0,-3.0,10,205,York,43.03833,-79.8149,False
St George-German Public School,Grand Erie DSB,brant,Elementary,English,79.0,0.0,0.0,132.3,79%,79%,40%,62%,54%,-15.0,-21.0,10,380,St George,43.24444,-80.2573,False
St George-German Public School,Grand Erie DSB,brant,Elementary,English,79.0,0.0,0.0,48.3,79%,79%,40%,62%,54%,-15.0,-21.0,10,380,St George,43.24444,-80.2573,False
Teeterville Public School,Grand Erie DSB,norfolk county,Elementary,English,81.0,10.0,5.0,42.2,81%,69%,56%,78%,74%,17.0,33.0,5,215,Teeterville,42.94825,-80.4417,False
Thompson Creek Elementary School,Grand Erie DSB,haldimand county,Elementary,English,74.0,11.0,4.0,39.4,74%,55%,24%,61%,48%,27.0,8.0,13,545,Dunnville,42.9141,-79.6307,False
Walpole North Elementary School,Grand Erie DSB,norfolk county,Elementary,English,75.0,5.0,0.0,42.2,75%,71%,25%,61%,52%,3.0,14.0,5,235,Hagersville,42.92279,-80.1059,False
Walsh Public School,Grand Erie DSB,norfolk county,Elementary,English,83.0,5.0,10.0,42.2,83%,74%,60%,68%,42%,2.0,21.0,15,420,Simcoe,42.76354,-80.39,False
Walter Gretzky Elementary School,Grand Erie DSB,brantford,Elementary,English,82.0,7.0,5.0,1061.2,82%,78%,52%,60%,43%,-6.0,15.0,7,650,Brantford,43.11038,-80.2984,False
Waterford Public School,Grand Erie DSB,norfolk county,Elementary,English,76.0,5.0,0.0,42.2,76%,66%,34%,87%,67%,-6.0,7.0,10,315,Waterford,42.93233,-80.2854,False
West Lynn Public School,Grand Erie DSB,norfolk county,Elementary,English,84.0,10.0,0.0,42.2,84%,78%,53%,76%,44%,5.0,21.0,20,255,Simcoe,42.82113,-80.2997,False
Woodman-Cainsville,Grand Erie DSB,brantford,Elementary,English,58.0,20.0,10.0,1061.2,58%,46%,33%,69%,45%,-17.0,15.0,10,310,Brantford,43.14616,-80.23021,True
A V Graham Public School,Greater Essex County DSB,tecumseh,Elementary,English,74.0,4.0,1.0,246.3,74%,74%,50%,71%,71%,3.0,28.0,16,540,Tecumseh,42.31902,-82.8793,False
Amherstburg Public School,Greater Essex County DSB,amherstburg,Elementary,English,82.0,5.0,0.0,128.0,82%,70%,45%,50%,27%,21.0,32.0,15,460,Amherstburg,42.10718,-83.1023,False
Anderdon Public School,Greater Essex County DSB,amherstburg,Elementary,English,82.0,3.0,0.0,128.0,82%,78%,41%,80%,63%,-4.0,4.0,12,575,Amherstburg,42.14288,-83.0666,False
Beacon Heights Public School,Greater Essex County DSB,tecumseh,Elementary,English,91.0,0.0,0.0,246.3,91%,84%,61%,73%,69%,0.0,-11.0,5,330,Tecumseh,42.3118,-82.8484,False
Belle River Public School,Greater Essex County DSB,lakeshore,Elementary,English,69.0,3.0,2.0,76.4,69%,69%,35%,65%,57%,-14.0,1.0,10,720,Belle River,42.29004,-82.7048,False
Bellewood Public School,Greater Essex County DSB,windsor,Elementary,English,98.0,9.0,2.0,1572.8,98%,99%,82%,100%,92%,2.0,5.0,5,700,Windsor,42.2669,-83.0407,False
Centennial Central Public School,Greater Essex County DSB,lakeshore,Elementary,English,89.0,5.0,25.0,76.4,89%,78%,61%,65%,52%,-11.0,8.0,20,210,Comber,42.23117,-82.5541,False
Central Public School,Greater Essex County DSB,windsor,Elementary,English,95.0,10.0,0.0,1572.8,95%,95%,59%,75%,68%,8.0,20.0,0,355,Windsor,42.26743,-83.0169,False
Colchester North Public School,Greater Essex County DSB,essex,Elementary,English,95.0,0.0,0.0,229.3,95%,100%,79%,97%,100%,-5.0,47.0,10,275,Essex,42.13579,-82.8752,False
Colchester North Public School,Greater Essex County DSB,essex,Elementary,English,95.0,0.0,0.0,76.4,95%,100%,79%,97%,100%,-5.0,47.0,10,275,Essex,42.13579,-82.8752,False
Coronation Public School,Greater Essex County DSB,windsor,Elementary,English,75.0,20.0,10.0,1572.8,75%,90%,65%,52%,60%,5.0,35.0,15,250,Windsor,42.3138,-82.962,False
David Maxwell Public School,Greater Essex County DSB,windsor,Elementary,English,64.0,15.0,5.0,1572.8,64%,36%,38%,86%,77%,-6.0,15.0,15,225,Windsor,42.3147,-82.9759,False
Dougall Avenue Public School,Greater Essex County DSB,windsor,Elementary,English,61.0,30.0,10.0,1572.8,61%,71%,33%,60%,35%,-5.0,5.0,10,395,Windsor,42.31056,-83.0386,False
Dr. David Suzuki Public School,Greater Essex County DSB,windsor,Elementary,English,90.0,10.0,5.0,1572.8,90%,93%,60%,80%,70%,1.0,16.0,15,475,Windsor,42.32658,-82.9593,False
East Mersea Public School,Greater Essex County DSB,leamington,Elementary,English,79.0,10.0,30.0,113.6,79%,75%,50%,81%,71%,2.0,10.0,10,195,Wheatley,42.076,-82.5128,False
Eastview Horizon Public School,Greater Essex County DSB,windsor,Elementary,English,72.0,11.0,8.0,1572.8,72%,69%,40%,74%,56%,-3.0,-2.0,14,580,Windsor,42.30754,-82.91,False
Erie Migration District Elementary School,Greater Essex County DSB,kingsville,Elementary,English,72.0,10.0,10.0,89.9,72%,74%,62%,70%,48%,-11.0,29.0,15,455,Kingsville,42.04014,-82.7402,False
Essex Public School,Greater Essex County DSB,essex,Elementary,English,75.0,7.0,4.0,229.3,75%,65%,48%,71%,64%,-4.0,19.0,14,600,Essex,42.17306,-82.8155,False
Essex Public School,Greater Essex County DSB,essex,Elementary,English,75.0,7.0,4.0,76.4,75%,65%,48%,71%,64%,-4.0,19.0,14,600,Essex,42.17306,-82.8155,False
Ford City Public School,Greater Essex County DSB,windsor,Elementary,English,91.0,23.0,7.0,1572.8,91%,82%,45%,71%,44%,20.0,12.0,14,530,Windsor,42.30972,-82.9901,False
Forest Glade Public School,Greater Essex County DSB,windsor,Elementary,English,72.0,15.0,10.0,1572.8,72%,86%,30%,70%,67%,-14.0,-19.0,12,665,Windsor,42.3105,-82.9256,False
Frank W Begley Public School,Greater Essex County DSB,windsor,Elementary,English,63.0,45.0,35.0,1572.8,63%,54%,18%,43%,45%,14.0,6.0,10,445,Windsor,42.32414,-83.0131,False
General Brock Public School,Greater Essex County DSB,windsor,Elementary,English,89.0,40.0,25.0,1572.8,89%,72%,59%,61%,70%,37.0,42.0,10,365,Windsor,42.29939,-83.0778,False
Glenwood Public School,Greater Essex County DSB,windsor,Elementary,English,82.0,11.0,3.0,1572.8,82%,78%,56%,65%,50%,3.0,1.0,9,525,Windsor,42.26305,-83.0279,False
Gore Hill Public School,Greater Essex County DSB,leamington,Elementary,English,58.0,10.0,25.0,113.6,58%,65%,27%,79%,52%,-24.0,-23.0,5,245,Leamington,42.03265,-82.5628,True
Gosfield North Public School,Greater Essex County DSB,kingsville,Elementary,English,78.0,0.0,10.0,89.9,78%,78%,54%,52%,42%,-6.0,13.0,10,475,Cottam,42.12552,-82.7479,False
Harrow Public School,Greater Essex County DSB,essex,Elementary,English,81.0,5.0,0.0,229.3,81%,71%,31%,76%,71%,17.0,8.0,15,395,Harrow,42.0367,-82.912,False
Harrow Public School,Greater Essex County DSB,essex,Elementary,English,81.0,5.0,0.0,76.4,81%,71%,31%,76%,71%,17.0,8.0,15,395,Harrow,42.0367,-82.912,False
Hugh Beaton Public School,Greater Essex County DSB,windsor,Elementary,English,86.0,10.0,0.0,1572.8,86%,89%,46%,80%,61%,-1.0,6.0,10,355,Windsor,42.29909,-82.9997,False
J A McWilliam Public School,Greater Essex County DSB,windsor,Elementary,English,81.0,10.0,10.0,1572.8,81%,81%,38%,77%,58%,8.0,22.0,15,300,Windsor,42.28199,-82.9863,False
J.L. Dunn Public School,Greater Essex County DSB,windsor,Elementary,English,95.0,26.0,16.0,1572.8,95%,95%,72%,82%,49%,3.0,9.0,7,525,Windsor,42.31018,-83.0191,False
John Campbell Public School,Greater Essex County DSB,windsor,Elementary,English,75.0,10.0,5.0,1572.8,75%,81%,44%,55%,48%,-3.0,25.0,15,345,Windsor,42.30014,-83.0062,False
King Edward Public School,Greater Essex County DSB,windsor,Elementary,English,63.0,25.0,10.0,1572.8,63%,74%,15%,58%,54%,2.0,-21.0,20,365,Windsor,42.31958,-83.0127,False
LaSalle Public School,Greater Essex County DSB,lasalle,Elementary,English,86.0,2.0,0.0,503.7,86%,78%,57%,85%,70%,-7.0,-13.0,14,575,LaSalle,42.22908,-83.0877,False
Lakeshore Discovery School,Greater Essex County DSB,lakeshore,Elementary,English,85.0,3.0,2.0,76.4,85%,88%,56%,72%,54%,1.0,12.0,9,935,Emeryville,42.2891,-82.7305,False
Legacy Oak Trail Public School Public School,Greater Essex County DSB,lasalle,Elementary,English,93.0,4.0,0.0,503.7,93%,90%,73%,82%,71%,9.0,16.0,12,580,LaSalle,42.20541,-83.0602,False
M S Hetherington Public School,Greater Essex County DSB,windsor,Elementary,English,72.0,15.0,5.0,1572.8,72%,63%,35%,51%,49%,3.0,4.0,10,440,Windsor,42.3362,-82.9345,False
Malden Central Public School,Greater Essex County DSB,amherstburg,Elementary,English,92.0,0.0,0.0,128.0,92%,88%,68%,69%,50%,-8.0,11.0,10,260,Amherstburg,42.06198,-83.0426,False
Margaret D Bennie Public School,Greater Essex County DSB,leamington,Elementary,English,70.0,15.0,30.0,113.6,70%,70%,11%,82%,68%,-13.0,-3.0,10,345,Leamington,42.0398,-82.6057,False
Marlborough Public School,Greater Essex County DSB,windsor,Elementary,English,73.0,30.0,20.0,1572.8,73%,58%,23%,53%,45%,20.0,15.0,10,480,Windsor,42.28989,-83.065,False
Mount Carmel Blytheswood Public School,Greater Essex County DSB,leamington,Elementary,English,81.0,10.0,35.0,113.6,81%,76%,43%,53%,53%,17.0,7.0,10,250,Leamington,42.08551,-82.6018,False
Northwood Public School,Greater Essex County DSB,windsor,Elementary,English,80.0,19.0,12.0,1572.8,80%,75%,61%,75%,57%,-1.0,15.0,11,910,Windsor,42.27782,-83.0301,False
Prince Edward Public School,Greater Essex County DSB,windsor,Elementary,English,60.0,33.0,26.0,1572.8,60%,63%,24%,46%,35%,-9.0,2.0,9,575,Windsor,42.31051,-83.0178,False
Princess Elizabeth Public School,Greater Essex County DSB,windsor,Elementary,English,84.0,5.0,0.0,1572.8,84%,88%,64%,54%,54%,6.0,47.0,10,260,Windsor,42.32393,-82.9691,False
Queen Elizabeth Public School,Greater Essex County DSB,leamington,Elementary,English,84.0,15.0,25.0,113.6,84%,82%,44%,69%,45%,15.0,26.0,10,465,Leamington,42.0453,-82.5953,False
Queen Victoria Public School,Greater Essex County DSB,windsor,Elementary,English,72.0,30.0,10.0,1572.8,72%,70%,42%,52%,50%,22.0,26.0,10,480,Windsor,42.30227,-83.0313,False
Roseland Public School,Greater Essex County DSB,windsor,Elementary,English,69.0,13.0,7.0,1572.8,69%,67%,44%,64%,72%,-9.0,9.0,8,505,Windsor,42.2595,-82.9925,False
Roseville Public School,Greater Essex County DSB,windsor,Elementary,English,73.0,30.0,20.0,1572.8,73%,53%,14%,42%,39%,9.0,14.0,20,230,Windsor,42.3069,-82.9473,False
Sandwich West Public School,Greater Essex County DSB,lasalle,Elementary,English,98.0,2.0,0.0,503.7,98%,97%,83%,80%,74%,3.0,14.0,13,570,LaSalle,42.24959,-83.0558,False
Southwood Public School,Greater Essex County DSB,windsor,Elementary,English,93.0,10.0,0.0,1572.8,93%,88%,62%,64%,64%,5.0,-2.0,15,375,Windsor,42.25446,-83.0183,False
Talbot Trail Public School,Greater Essex County DSB,windsor,Elementary,English,86.0,11.0,8.0,1572.8,86%,92%,59%,84%,78%,-1.0,-3.0,10,910,Windsor,42.2515,-82.9716,False
Tecumseh Vista Academy - Elementary,Greater Essex County DSB,tecumseh,Elementary,English,92.0,3.0,3.0,246.3,92%,92%,58%,76%,72%,-2.0,-10.0,7,680,Tecumseh,42.27973,-82.8926,False
W. F. Herman Academy Elementary School,Greater Essex County DSB,windsor,Elementary,English,98.0,15.0,5.0,1572.8,98%,93%,71%,51%,34%,4.0,3.0,10,435,Windsor,42.31065,-82.976,False
West Gate Public School,Greater Essex County DSB,windsor,Elementary,English,83.0,32.0,10.0,1572.8,83%,71%,35%,57%,47%,16.0,15.0,13,650,Windsor,42.3071,-83.0536,False
William G Davis Public School,Greater Essex County DSB,windsor,Elementary,English,59.0,15.0,5.0,1572.8,59%,71%,33%,52%,42%,-8.0,23.0,10,375,Windsor,42.29871,-82.9533,True
Ascension Catholic Elementary School,Halton CDSB,burlington,Elementary,English,82.0,0.0,0.0,1004.4,82%,91%,52%,94%,88%,-9.0,-3.0,10,320,Burlington,43.37323,-79.7481,False
Canadian Martyrs Catholic Elementary School,Halton CDSB,burlington,Elementary,English,93.0,0.0,0.0,1004.4,93%,100%,71%,81%,81%,-3.0,-2.0,10,420,Burlington,43.36892,-79.8096,False
Guardian Angels Catholic Elementary School,Halton CDSB,milton,Elementary,English,87.0,6.0,1.0,365.5,87%,88%,56%,78%,76%,-3.0,20.0,10,775,Milton,43.51848,-79.8437,False
Holy Cross Catholic Elementary School,Halton CDSB,halton hills,Elementary,English,89.0,0.0,0.0,227.4,89%,75%,44%,67%,54%,-1.0,-12.0,15,455,Halton Hills,43.64848,-79.9191,False
Holy Family Catholic Elementary School,Halton CDSB,oakville,Elementary,English,86.0,5.0,0.0,1538.5,86%,57%,43%,48%,37%,-9.0,-19.0,10,195,Oakville,43.48164,-79.6875,False
Holy Rosary (Burlington) Catholic Elementary School,Halton CDSB,burlington,Elementary,English,88.0,5.0,0.0,1004.4,88%,88%,60%,64%,53%,-1.0,9.0,10,365,Burlington,43.31343,-79.845,False
