OrgID,OrgType,Language,Grade,ApplySuppression,BoardMident,BoardName,SchoolMident,SchoolName,FundingType,Suppressed,cntStudents_Read,cntStudents_Write,cntStudents_Math,cntExempted_Read,cntExempted_Write,cntExempted_Math,cntAbsent_Read,cntAbsent_Write,cntAbsent_Math,cntNoData_Read,cntNoData_Write,cntNoData_Math,cntFullyParticipating_Read,cntFullyParticipating_Write,cntFullyParticipating_Math,cntFirstLang_Read,cntFirstLang_Write,cntFirstLang_Math,cntFirstLang_Other_Read,cntFirstLang_Other_Write,cntFirstLang_Other_Math,cntFirstLang_NoData_Read,cntFirstLang_NoData_Write,cntFirstLang_NoData_Math,pctExempted_Read,pctExempted_Write,pctExempted_Math,pctAbsent_Read,pctAbsent_Write,pctAbsent_Math,pctNoData_Read,pctNoData_Write,pctNoData_Math,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctFirstLang_Read,pctFirstLang_Write,pctFirstLang_Math,pctFirstLang_Other_Read,pctFirstLang_Other_Write,pctFirstLang_Other_Math,pctFirstLang_NoData_Read,pctFirstLang_NoData_Write,pctFirstLang_NoData_Math,cntOverallR_L4,cntOverallR_L3,cntOverallR_L2,cntOverallR_L1,cntOverallR_NE1,cntOverallR_L34,cntOverallW_L4,cntOverallW_L3,cntOverallW_L2,cntOverallW_L1,cntOverallW_NE1,cntOverallW_L34,cntOverallM_L4,cntOverallM_L3,cntOverallM_L2,cntOverallM_L1,cntOverallM_NE1,cntOverallM_L34,pctOverallR_L4,pctOverallR_L3,pctOverallR_L2,pctOverallR_L1,pctOverallR_NE1,pctOverallR_L34,pctOverallW_L4,pctOverallW_L3,pctOverallW_L2,pctOverallW_L1,pctOverallW_NE1,pctOverallW_L34,pctOverallM_L4,pctOverallM_L3,pctOverallM_L2,pctOverallM_L1,pctOverallM_NE1,pctOverallM_L34,cntOverallR_G1_Part,cntOverallW_G1_Part,cntOverallM_G1_Part,cntOverallR_G1_L4,cntOverallR_G1_L3,cntOverallR_G1_L2,cntOverallR_G1_L1,cntOverallR_G1_NE1,cntOverallR_G1_L34,cntOverallW_G1_L4,cntOverallW_G1_L3,cntOverallW_G1_L2,cntOverallW_G1_L1,cntOverallW_G1_NE1,cntOverallW_G1_L34,cntOverallM_G1_L4,cntOverallM_G1_L3,cntOverallM_G1_L2,cntOverallM_G1_L1,cntOverallM_G1_NE1,cntOverallM_G1_L34,cntOverallR_G2_Part,cntOverallW_G2_Part,cntOverallM_G2_Part,cntOverallR_G2_L4,cntOverallR_G2_L3,cntOverallR_G2_L2,cntOverallR_G2_L1,cntOverallR_G2_NE1,cntOverallR_G2_L34,cntOverallW_G2_L4,cntOverallW_G2_L3,cntOverallW_G2_L2,cntOverallW_G2_L1,cntOverallW_G2_NE1,cntOverallW_G2_L34,cntOverallM_G2_L4,cntOverallM_G2_L3,cntOverallM_G2_L2,cntOverallM_G2_L1,cntOverallM_G2_NE1,cntOverallM_G2_L34
203521,S,en,3,1,66044,Thames Valley District School Board,203521,Forest City Public School,1,0,24,24,24,0,0,0,0,0,0,2,2,2,22,22,22,20,20,20,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,8%,8%,8%,92%,92%,92%,91%,91%,91%,N/R,N/R,N/R,N/R,N/R,N/R,3,8,10,1,0,11,0,11,6,5,0,11,1,5,9,6,1,6,14%,36%,45%,5%,0%,50%,0%,50%,27%,23%,0%,50%,5%,23%,41%,27%,5%,27%,10,10,10,1,3,5,1,0,4,0,4,3,3,0,4,1,2,3,3,1,3,12,12,12,2,5,5,0,0,7,0,7,3,2,0,7,0,3,6,3,0,3
20354,S,en,3,1,66184,Ottawa-Carleton DSB,20354,Arch Street PS,1,0,26,26,26,5,5,5,0,0,0,0,0,0,21,21,21,N/R,N/R,N/R,11,11,11,N/R,N/R,N/R,19%,19%,19%,0%,0%,0%,0%,0%,0%,81%,81%,81%,N/R,N/R,N/R,52%,52%,52%,N/R,N/R,N/R,0,8,13,0,0,8,0,5,15,1,0,5,1,4,10,6,0,5,0%,38%,62%,0%,0%,38%,0%,24%,71%,5%,0%,24%,5%,19%,48%,29%,0%,24%,11,11,11,0,4,7,0,0,4,0,3,8,0,0,3,1,2,5,3,0,3,10,10,10,0,4,6,0,0,4,0,2,7,1,0,2,0,2,5,3,0,2
20389,S,en,3,1,66192,Upper Canada DSB,20389,Arklan Community PS,1,0,55,55,55,3,3,3,0,0,0,0,0,0,52,52,52,22,22,22,10,10,10,20,20,20,5%,5%,5%,0%,0%,0%,0%,0%,0%,95%,95%,95%,42%,42%,42%,19%,19%,19%,38%,38%,38%,9,29,14,0,0,38,4,32,15,1,0,36,10,25,13,4,0,35,17%,56%,27%,0%,0%,73%,8%,62%,29%,2%,0%,69%,19%,48%,25%,8%,0%,67%,29,29,29,6,16,7,0,0,22,2,17,10,0,0,19,8,12,7,2,0,20,23,23,23,3,13,7,0,0,16,2,15,5,1,0,17,2,13,6,2,0,15
203912,S,en,3,1,66141,Hamilton-Wentworth DSB,203912,Franklin Road,1,0,51,51,51,5,5,5,0,0,0,0,0,0,46,46,46,40,40,40,N/R,N/R,N/R,N/R,N/R,N/R,10%,10%,10%,0%,0%,0%,0%,0%,0%,90%,90%,90%,87%,87%,87%,N/R,N/R,N/R,N/R,N/R,N/R,2,27,17,0,0,29,0,22,21,3,0,22,5,15,16,8,2,20,4%,59%,37%,0%,0%,63%,0%,48%,46%,7%,0%,48%,11%,33%,35%,17%,4%,43%,25,25,25,1,15,9,0,0,16,0,10,14,1,0,10,4,7,12,2,0,11,21,21,21,1,12,8,0,0,13,0,12,7,2,0,12,1,8,4,6,2,9
204170,S,en,3,1,66095,York Region DSB,204170,Franklin Street PS,1,0,22,22,22,0,0,0,0,0,0,1,1,1,21,21,21,12,12,12,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,5%,5%,5%,95%,95%,95%,57%,57%,57%,N/R,N/R,N/R,N/R,N/R,N/R,3,16,2,0,0,19,0,18,3,0,0,18,2,16,3,0,0,18,14%,76%,10%,0%,0%,90%,0%,86%,14%,0%,0%,86%,10%,76%,14%,0%,0%,86%,13,13,13,2,10,1,0,0,12,0,11,2,0,0,11,2,10,1,0,0,12,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
20486,S,en,3,1,66052,Toronto DSB,20486,Garden Avenue Jr PS,1,0,29,29,29,1,1,1,0,0,0,0,0,0,28,28,28,28,28,28,N/R,N/R,N/R,N/R,N/R,N/R,3%,3%,3%,0%,0%,0%,0%,0%,0%,97%,97%,97%,100%,100%,100%,N/R,N/R,N/R,N/R,N/R,N/R,13,12,3,0,0,25,3,21,4,0,0,24,10,12,5,1,0,22,46%,43%,11%,0%,0%,89%,11%,75%,14%,0%,0%,86%,36%,43%,18%,4%,0%,79%,15,15,15,5,9,1,0,0,14,0,14,1,0,0,14,5,8,1,1,0,13,13,13,13,8,3,2,0,0,11,3,7,3,0,0,10,5,4,4,0,0,9
204901,S,en,3,1,66184,Ottawa-Carleton DSB,204901,South March PS,1,0,67,67,67,4,4,4,0,0,0,1,0,0,62,63,63,34,35,35,27,27,27,N/R,N/R,N/R,6%,6%,6%,0%,0%,0%,1%,0%,0%,93%,94%,94%,55%,56%,56%,44%,43%,43%,N/R,N/R,N/R,12,31,19,0,0,43,3,42,17,1,0,45,8,34,19,2,0,42,19%,50%,31%,0%,0%,69%,5%,67%,27%,2%,0%,71%,13%,54%,30%,3%,0%,67%,34,34,34,8,14,12,0,0,22,2,23,9,0,0,25,6,23,5,0,0,29,28,29,29,4,17,7,0,0,21,1,19,8,1,0,20,2,11,14,2,0,13
204986,S,fr,3,1,66311,Conseil des écoles publiques de l'Est de l'Ontario,204986,École élémentaire publique Gabrielle-Roy,1,0,53,53,53,0,0,0,0,0,0,0,0,0,53,53,53,16,16,16,37,37,37,S. R.,S. R.,S. R.,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,30%,30%,30%,70%,70%,70%,S. R.,S. R.,S. R.,11,31,11,0,0,42,12,23,13,3,2,35,7,28,16,0,2,35,21%,58%,21%,0%,0%,79%,23%,43%,25%,6%,4%,66%,13%,53%,30%,0%,4%,66%,24,24,24,3,14,7,0,0,17,3,11,6,2,2,14,5,11,6,0,2,16,29,29,29,8,17,4,0,0,25,9,12,7,1,0,21,2,17,10,0,0,19
20540,S,en,3,1,28037,Near North DSB,20540,Argyle PS,1,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
205611,S,en,3,1,66095,York Region DSB,205611,Pierre Berton PS,1,0,45,45,45,4,4,3,0,0,0,0,0,0,41,41,42,22,22,22,17,17,18,N/R,N/R,N/R,9%,9%,7%,0%,0%,0%,0%,0%,0%,91%,91%,93%,54%,54%,52%,41%,41%,43%,N/R,N/R,N/R,17,12,12,0,0,29,4,25,11,1,0,29,11,19,10,2,0,30,41%,29%,29%,0%,0%,71%,10%,61%,27%,2%,0%,71%,26%,45%,24%,5%,0%,71%,24,24,25,7,8,9,0,0,15,2,12,9,1,0,14,7,8,8,2,0,15,17,17,17,10,4,3,0,0,14,2,13,2,0,0,15,4,11,2,0,0,15
206253,S,en,3,1,66060,Durham DSB,206253,Frenchmans Bay PS,1,0,N/D,N/D,56,N/D,N/D,0,N/D,N/D,0,N/D,N/D,0,N/D,N/D,56,N/D,N/D,46,N/D,N/D,10,N/D,N/D,N/R,N/D,N/D,0%,N/D,N/D,0%,N/D,N/D,0%,N/D,N/D,100%,N/D,N/D,82%,N/D,N/D,18%,N/D,N/D,N/R,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3,22,23,8,0,25,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,5%,39%,41%,14%,0%,45%,N/D,N/D,23,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2,10,8,3,0,12,N/D,N/D,33,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1,12,15,5,0,13
206470,S,en,3,1,66133,Halton DSB,206470,Emily Carr Elem PS,1,0,48,48,48,2,2,2,0,0,0,2,2,2,44,44,44,22,22,22,21,21,21,N/R,N/R,N/R,4%,4%,4%,0%,0%,0%,4%,4%,4%,92%,92%,92%,50%,50%,50%,48%,48%,48%,N/R,N/R,N/R,14,23,7,0,0,37,1,31,10,2,0,32,14,22,7,1,0,36,32%,52%,16%,0%,0%,84%,2%,70%,23%,5%,0%,73%,32%,50%,16%,2%,0%,82%,26,26,26,9,10,7,0,0,19,0,18,7,1,0,18,10,11,4,1,0,21,18,18,18,5,13,0,0,0,18,1,13,3,1,0,14,4,11,3,0,0,15
206474,S,en,3,1,66133,Halton DSB,206474,Frontenac PS,1,0,41,41,41,1,1,1,0,0,0,0,0,0,40,40,40,34,34,34,N/R,N/R,N/R,N/R,N/R,N/R,2%,2%,2%,0%,0%,0%,0%,0%,0%,98%,98%,98%,85%,85%,85%,N/R,N/R,N/R,N/R,N/R,N/R,9,24,7,0,0,33,0,25,15,0,0,25,6,28,6,0,0,34,22%,60%,18%,0%,0%,82%,0%,62%,38%,0%,0%,62%,15%,70%,15%,0%,0%,85%,21,21,21,6,9,6,0,0,15,0,12,9,0,0,12,4,16,1,0,0,20,19,19,19,3,15,1,0,0,18,0,13,6,0,0,13,2,12,5,0,0,14
20702,S,en,3,1,66095,York Region DSB,20702,Armitage Village PS,1,0,40,40,40,3,3,3,0,0,0,0,0,0,37,37,37,26,26,26,11,11,11,N/R,N/R,N/R,8%,8%,8%,0%,0%,0%,0%,0%,0%,92%,92%,92%,70%,70%,70%,30%,30%,30%,N/R,N/R,N/R,8,22,7,0,0,30,0,21,15,1,0,21,5,21,9,2,0,26,22%,59%,19%,0%,0%,81%,0%,57%,41%,3%,0%,57%,14%,57%,24%,5%,0%,70%,17,17,17,5,9,3,0,0,14,0,8,9,0,0,8,4,9,3,1,0,13,20,20,20,3,13,4,0,0,16,0,13,6,1,0,13,1,12,6,1,0,13
20745,S,en,3,1,66052,Toronto DSB,20745,Armour Heights PS,1,0,22,22,22,0,0,0,0,0,0,2,1,1,20,21,21,16,16,16,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,9%,5%,5%,91%,95%,95%,80%,76%,76%,N/R,N/R,N/R,N/R,N/R,N/R,4,8,7,1,0,12,2,11,8,0,0,13,3,10,5,3,0,13,20%,40%,35%,5%,0%,60%,10%,52%,38%,0%,0%,62%,14%,48%,24%,14%,0%,62%,14,15,15,3,7,3,1,0,10,2,6,7,0,0,8,3,6,4,2,0,9,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
207810,S,en,3,1,66150,DSB of Niagara,207810,Gainsborough Central PS,1,0,11,11,11,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,N/R,N/R,N/R,N/R,N/R,N/R,3,8,0,0,0,11,3,8,0,0,0,11,6,5,0,0,0,11,27%,73%,0%,0%,0%,100%,27%,73%,0%,0%,0%,100%,55%,45%,0%,0%,0%,100%,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
207942,S,en,3,1,66052,Toronto DSB,207942,Galloway Road PS,1,0,12,12,12,0,0,0,0,0,0,0,0,0,12,12,12,11,11,11,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,92%,92%,92%,N/R,N/R,N/R,N/R,N/R,N/R,2,4,6,0,0,6,1,3,6,1,1,4,2,2,5,3,0,4,17%,33%,50%,0%,0%,50%,8%,25%,50%,8%,8%,33%,17%,17%,42%,25%,0%,33%,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
208310,S,en,3,1,66117,Upper Grand DSB,208310,East Garafraxa Central PS,1,0,30,30,30,0,0,0,0,0,0,0,0,0,30,30,30,29,29,29,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,97%,97%,97%,N/R,N/R,N/R,N/R,N/R,N/R,7,14,9,0,0,21,2,17,11,0,0,19,5,15,10,0,0,20,23%,47%,30%,0%,0%,70%,7%,57%,37%,0%,0%,63%,17%,50%,33%,0%,0%,67%,14,14,14,2,5,7,0,0,7,0,9,5,0,0,9,3,7,4,0,0,10,16,16,16,5,9,2,0,0,14,2,8,6,0,0,10,2,8,6,0,0,10
208367,S,en,3,1,66206,Limestone DSB,208367,Elementary Remote Learning,1,3,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
208620,S,en,3,1,66117,Upper Grand DSB,208620,Gateway Drive PS,1,0,28,28,28,4,4,4,0,0,0,2,2,2,22,22,22,20,20,20,N/R,N/R,N/R,N/R,N/R,N/R,14%,14%,14%,0%,0%,0%,7%,7%,7%,79%,79%,79%,91%,91%,91%,N/R,N/R,N/R,N/R,N/R,N/R,4,14,4,0,0,18,0,10,12,0,0,10,3,17,1,1,0,20,18%,64%,18%,0%,0%,82%,0%,45%,55%,0%,0%,45%,14%,77%,5%,5%,0%,91%,16,16,16,2,11,3,0,0,13,0,7,9,0,0,7,1,14,1,0,0,15,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
20878,S,en,3,1,66010,Avon Maitland DSB,20878,AMDSB Elementary Remote Learning School,1,3,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
208944,S,fr,3,1,66311,Conseil des écoles publiques de l'Est de l'Ontario,208944,École élémentaire publique Rivière Rideau,1,0,20,20,20,0,0,0,0,0,0,0,0,0,20,20,20,S. R.,S. R.,S. R.,18,18,18,S. R.,S. R.,S. R.,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,S. R.,S. R.,S. R.,90%,90%,90%,S. R.,S. R.,S. R.,1,12,7,0,0,13,1,11,6,2,0,12,2,9,9,0,0,11,5%,60%,35%,0%,0%,65%,5%,55%,30%,10%,0%,60%,10%,45%,45%,0%,0%,55%,13,13,13,0,8,5,0,0,8,1,6,5,1,0,7,1,6,6,0,0,7,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
209635,S,en,3,1,66117,Upper Grand DSB,209635,John Black PS,1,0,15,15,15,1,1,1,0,0,0,0,0,0,14,14,14,14,14,14,N/R,N/R,N/R,N/R,N/R,N/R,7%,7%,7%,0%,0%,0%,0%,0%,0%,93%,93%,93%,100%,100%,100%,N/R,N/R,N/R,N/R,N/R,N/R,7,6,1,0,0,13,2,10,1,1,0,12,6,6,1,1,0,12,50%,43%,7%,0%,0%,93%,14%,71%,7%,7%,0%,86%,43%,43%,7%,7%,0%,86%,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
209969,S,en,3,1,66125,Peel District School Board,209969,Sir Isaac Brock PS,1,0,70,70,70,1,1,1,0,0,0,1,1,1,68,68,68,33,33,33,34,34,34,N/R,N/R,N/R,1%,1%,1%,0%,0%,0%,1%,1%,1%,97%,97%,97%,49%,49%,49%,50%,50%,50%,N/R,N/R,N/R,10,42,15,1,0,52,5,44,18,1,0,49,5,30,27,6,0,35,15%,62%,22%,1%,0%,76%,7%,65%,26%,1%,0%,72%,7%,44%,40%,9%,0%,51%,40,40,40,5,24,10,1,0,29,0,27,13,0,0,27,3,19,17,1,0,22,28,28,28,5,18,5,0,0,23,5,17,5,1,0,22,2,11,10,5,0,13
21008,S,en,3,1,28061,Lakehead DSB,21008,Armstrong PS,1,0,16,16,16,2,2,2,0,0,0,2,2,2,12,12,12,11,11,11,N/R,N/R,N/R,N/R,N/R,N/R,12%,12%,12%,0%,0%,0%,12%,12%,12%,75%,75%,75%,92%,92%,92%,N/R,N/R,N/R,N/R,N/R,N/R,0,7,5,0,0,7,0,4,4,3,1,4,0,5,6,0,1,5,0%,58%,42%,0%,0%,58%,0%,33%,33%,25%,8%,33%,0%,42%,50%,0%,8%,42%,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
210277,S,en,3,1,66060,Durham DSB,210277,Gandatsetiagon PS,1,0,62,62,62,1,1,1,0,0,0,0,0,0,61,61,61,49,49,49,10,10,10,N/R,N/R,N/R,2%,2%,2%,0%,0%,0%,0%,0%,0%,98%,98%,98%,80%,80%,80%,16%,16%,16%,N/R,N/R,N/R,20,35,6,0,0,55,5,45,11,0,0,50,17,32,12,0,0,49,33%,57%,10%,0%,0%,90%,8%,74%,18%,0%,0%,82%,28%,52%,20%,0%,0%,80%,33,33,33,6,21,6,0,0,27,1,25,7,0,0,26,12,15,6,0,0,27,28,28,28,14,14,0,0,0,28,4,20,4,0,0,24,5,17,6,0,0,22
210358,S,en,3,1,66150,DSB of Niagara,210358,Garrison Road PS,1,0,57,57,57,2,2,2,0,0,0,1,0,0,54,55,55,52,53,53,N/R,N/R,N/R,N/R,N/R,N/R,4%,4%,4%,0%,0%,0%,2%,0%,0%,95%,96%,96%,96%,96%,96%,N/R,N/R,N/R,N/R,N/R,N/R,17,34,3,0,0,51,6,37,11,1,0,43,19,23,12,1,0,42,31%,63%,6%,0%,0%,94%,11%,67%,20%,2%,0%,78%,35%,42%,22%,2%,0%,76%,28,28,28,11,17,0,0,0,28,1,20,6,1,0,21,12,11,5,0,0,23,26,27,27,6,17,3,0,0,23,5,17,5,0,0,22,7,12,7,1,0,19
210455,S,en,3,1,66125,Peel District School Board,210455,Garthwood Park PS,1,0,45,45,45,3,3,3,0,0,0,3,0,0,39,42,42,24,26,26,13,13,13,N/R,N/R,N/R,7%,7%,7%,0%,0%,0%,7%,0%,0%,87%,93%,93%,62%,62%,62%,33%,31%,31%,N/R,N/R,N/R,5,14,18,2,0,19,1,12,27,2,0,13,0,16,14,12,0,16,13%,36%,46%,5%,0%,49%,2%,29%,64%,5%,0%,31%,0%,38%,33%,29%,0%,38%,22,22,22,3,7,10,2,0,10,0,6,14,2,0,6,0,10,6,6,0,10,17,20,20,2,7,8,0,0,9,1,6,13,0,0,7,0,6,8,6,0,6
210714,S,en,3,1,66052,Toronto DSB,210714,Gateway PS,1,0,103,103,103,19,17,17,0,2,2,3,2,1,81,82,83,29,29,30,47,48,48,N/R,N/R,N/R,18%,17%,17%,0%,2%,2%,3%,2%,1%,79%,80%,81%,36%,35%,36%,58%,59%,58%,N/R,N/R,N/R,7,40,33,1,0,47,3,39,30,10,0,42,2,21,35,19,6,23,9%,49%,41%,1%,0%,58%,4%,48%,37%,12%,0%,51%,2%,25%,42%,23%,7%,28%,40,41,42,5,14,20,1,0,19,3,16,14,8,0,19,2,13,13,10,4,15,41,41,41,2,26,13,0,0,28,0,23,16,2,0,23,0,8,22,9,2,8
211060,S,en,3,1,66052,Toronto DSB,211060,General Brock PS,1,0,42,42,42,0,0,0,0,0,0,0,0,0,42,42,42,24,24,24,16,16,16,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,57%,57%,57%,38%,38%,38%,N/R,N/R,N/R,5,21,16,0,0,26,0,25,13,4,0,25,4,15,17,6,0,19,12%,50%,38%,0%,0%,62%,0%,60%,31%,10%,0%,60%,10%,36%,40%,14%,0%,45%,20,20,20,2,9,9,0,0,11,0,10,8,2,0,10,2,8,9,1,0,10,22,22,22,3,12,7,0,0,15,0,15,5,2,0,15,2,7,8,5,0,9
211192,S,en,3,1,66028,Greater Essex County DSB,211192,General Brock PS,1,0,32,32,32,4,5,5,0,0,0,0,0,1,28,27,26,19,18,17,N/R,N/R,N/R,N/R,N/R,N/R,12%,16%,16%,0%,0%,0%,0%,0%,3%,88%,84%,81%,68%,67%,65%,N/R,N/R,N/R,N/R,N/R,N/R,1,16,10,1,0,17,1,15,10,1,0,16,1,13,9,2,1,14,4%,57%,36%,4%,0%,61%,4%,56%,37%,4%,0%,59%,4%,50%,35%,8%,4%,54%,16,15,14,0,7,8,1,0,7,0,7,7,1,0,7,1,5,6,2,0,6,12,12,12,1,9,2,0,0,10,1,8,3,0,0,9,0,8,3,0,1,8
211320,S,en,3,1,66052,Toronto DSB,211320,General Crerar PS,1,0,17,17,23,0,0,0,0,0,0,1,1,0,16,16,23,N/R,N/R,11,N/R,N/R,12,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,6%,6%,0%,94%,94%,100%,N/R,N/R,48%,N/R,N/R,52%,N/R,N/R,N/R,2,9,4,1,0,11,1,11,2,2,0,12,2,12,5,4,0,14,12%,56%,25%,6%,0%,69%,6%,69%,12%,12%,0%,75%,9%,52%,22%,17%,0%,61%,12,12,16,1,6,4,1,0,7,1,7,2,2,0,8,1,7,5,3,0,8,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
